Duration,Amount,History,EmpStatus,Gender,Age,Rating
6,1169,Critical,moreSeven,Male,67,Good
48,5951,PaidDuly,lessFour,Female,22,Bad
12,2096,Critical,lessSeven,Male,49,Good
42,7882,PaidDuly,lessSeven,Male,45,Good
24,4870,PayDelay,lessFour,Male,53,Bad
36,9055,PaidDuly,lessFour,Male,35,Good
24,2835,PaidDuly,moreSeven,Male,53,Good
36,6948,PaidDuly,lessFour,Male,35,Good
12,3059,PaidDuly,lessSeven,Male,61,Good
30,5234,Critical,UnEmp,Male,28,Bad
12,1295,PaidDuly,lessOne,Female,25,Bad
48,4308,PaidDuly,lessOne,Female,24,Bad
12,1567,PaidDuly,lessFour,Female,22,Good
24,1199,Critical,moreSeven,Male,60,Bad
15,1403,PaidDuly,lessFour,Female,28,Good
24,1282,PaidDuly,lessFour,Female,32,Bad
24,2424,Critical,moreSeven,Male,53,Good
30,8072,NoCredit,lessOne,Male,25,Good
24,12579,PaidDuly,moreSeven,Female,44,Bad
24,3430,PaidDuly,moreSeven,Male,31,Good
9,2134,Critical,lessFour,Male,48,Good
6,2647,PaidDuly,lessFour,Male,44,Good
10,2241,Critical,lessOne,Male,48,Good
12,1804,Critical,lessOne,Male,44,Good
10,2069,Critical,lessFour,Male,26,Good
6,1374,PaidDuly,lessFour,Male,36,Good
6,426,NoCredit,moreSeven,Male,39,Good
12,409,CreditPaid,lessFour,Female,42,Good
7,2415,PaidDuly,lessFour,Male,34,Good
60,6836,PayDelay,moreSeven,Male,63,Bad
18,1913,PaidDuly,lessOne,Male,36,Good
24,4020,PaidDuly,lessFour,Male,27,Good
18,5866,PaidDuly,lessFour,Male,30,Good
12,1264,Critical,moreSeven,Male,57,Good
12,1474,PaidDuly,lessOne,Female,33,Good
45,4746,Critical,lessOne,Male,25,Bad
48,6110,Critical,lessFour,Male,31,Good
18,2100,PaidDuly,lessFour,Male,37,Bad
10,1225,PaidDuly,lessFour,Male,37,Good
9,458,PaidDuly,lessFour,Male,24,Good
30,2333,PaidDuly,moreSeven,Male,30,Good
12,1158,PaidDuly,lessFour,Male,26,Good
18,6204,PayDelay,lessFour,Male,44,Good
30,6187,Critical,lessSeven,Male,24,Good
48,6143,Critical,moreSeven,Female,58,Bad
11,1393,Critical,lessOne,Female,35,Good
36,2299,PaidDuly,moreSeven,Male,39,Good
6,1352,PaidDuly,UnEmp,Female,23,Good
11,7228,Critical,lessFour,Male,39,Good
12,2073,PaidDuly,lessFour,Female,28,Good
24,2333,PayDelay,lessOne,Male,29,Good
27,5965,PayDelay,moreSeven,Male,30,Good
12,1262,PaidDuly,lessFour,Male,25,Good
18,3378,PaidDuly,lessFour,Male,31,Good
36,2225,PayDelay,moreSeven,Male,57,Bad
6,783,CreditPaid,lessFour,Male,26,Good
12,6468,PaidDuly,UnEmp,Male,52,Bad
36,9566,Critical,lessFour,Female,31,Good
18,1961,PaidDuly,moreSeven,Female,23,Good
36,6229,Critical,lessOne,Female,23,Bad
9,1391,PaidDuly,lessFour,Male,27,Good
15,1537,Critical,moreSeven,Male,50,Good
36,1953,NoCredit,moreSeven,Male,61,Bad
48,14421,NoCredit,lessFour,Male,25,Bad
24,3181,PaidDuly,lessOne,Female,26,Good
27,5190,PaidDuly,moreSeven,Male,48,Good
12,2171,PaidDuly,lessOne,Female,29,Good
12,1007,PaidDuly,lessFour,Male,22,Good
36,1819,PaidDuly,lessFour,Male,37,Bad
36,2394,PaidDuly,lessFour,Female,25,Good
36,8133,PaidDuly,lessFour,Female,30,Good
7,730,Critical,moreSeven,Male,46,Good
8,1164,Critical,moreSeven,Male,51,Good
42,5954,Critical,lessSeven,Female,41,Good
36,1977,PaidDuly,moreSeven,Male,40,Bad
12,1526,Critical,moreSeven,Male,66,Good
42,3965,PaidDuly,lessOne,Male,34,Bad
11,4771,PayDelay,lessSeven,Male,51,Good
54,9436,NoCredit,lessFour,Male,39,Good
30,3832,PaidDuly,lessOne,Male,22,Good
24,5943,PaidDuly,lessOne,Female,44,Bad
15,1213,PaidDuly,moreSeven,Male,47,Good
18,1568,PaidDuly,lessFour,Female,24,Good
24,1755,PaidDuly,moreSeven,Female,58,Good
10,2315,PaidDuly,moreSeven,Male,52,Good
12,1412,Critical,lessFour,Female,29,Good
18,1295,Critical,lessOne,Female,27,Good
36,12612,PaidDuly,lessFour,Male,47,Bad
18,2249,PaidDuly,lessSeven,Male,30,Good
12,1108,NoCredit,lessSeven,Male,28,Bad
12,618,Critical,moreSeven,Male,56,Good
12,1409,Critical,moreSeven,Male,54,Good
12,797,Critical,moreSeven,Female,33,Bad
24,3617,Critical,moreSeven,Male,20,Good
12,1318,PaidDuly,moreSeven,Male,54,Good
54,15945,NoCredit,lessOne,Male,58,Bad
12,2012,Critical,lessSeven,Female,61,Good
18,2622,PaidDuly,lessFour,Male,34,Good
36,2337,Critical,moreSeven,Male,36,Good
20,7057,PayDelay,lessSeven,Male,36,Good
24,1469,PaidDuly,moreSeven,Male,41,Good
36,2323,PaidDuly,lessSeven,Male,24,Good
6,932,PayDelay,lessFour,Female,24,Good
9,1919,Critical,lessSeven,Male,35,Good
12,2445,PaidDuly,lessOne,Male,26,Good
24,11938,Critical,lessFour,Male,39,Bad
18,6458,CreditPaid,moreSeven,Male,39,Bad
12,6078,PaidDuly,lessSeven,Male,32,Good
24,7721,PaidDuly,lessOne,Female,30,Good
14,1410,PaidDuly,moreSeven,Male,35,Good
6,1449,PayDelay,moreSeven,Male,31,Good
15,392,PaidDuly,lessOne,Female,23,Good
18,6260,PaidDuly,lessSeven,Male,28,Good
36,7855,Critical,lessFour,Female,25,Bad
12,1680,PaidDuly,moreSeven,Male,35,Good
48,3578,Critical,moreSeven,Male,47,Good
42,7174,PaidDuly,lessSeven,Female,30,Bad
10,2132,Critical,lessOne,Female,27,Good
33,4281,Critical,lessFour,Female,23,Bad
12,2366,Critical,lessSeven,Male,36,Good
21,1835,PaidDuly,lessFour,Female,25,Bad
24,3868,Critical,moreSeven,Female,41,Good
12,1768,PaidDuly,lessFour,Male,24,Good
10,781,Critical,moreSeven,Male,63,Good
18,1924,PaidDuly,lessOne,Female,27,Bad
12,2121,Critical,lessFour,Male,30,Good
12,701,PaidDuly,lessFour,Male,40,Good
12,639,PaidDuly,lessFour,Male,30,Bad
12,1860,Critical,UnEmp,Male,34,Good
12,3499,Critical,lessFour,Female,29,Bad
48,8487,PaidDuly,lessSeven,Female,24,Good
36,6887,PayDelay,lessFour,Male,29,Bad
15,2708,PaidDuly,lessOne,Male,27,Good
18,1984,PaidDuly,lessFour,Male,47,Good
60,10144,PaidDuly,lessSeven,Female,21,Good
12,1240,Critical,moreSeven,Female,38,Good
27,8613,PayDelay,lessFour,Male,27,Good
12,766,PaidDuly,lessFour,Male,66,Bad
15,2728,Critical,lessSeven,Male,35,Good
12,1881,PaidDuly,lessFour,Female,44,Good
6,709,PaidDuly,lessOne,Male,27,Good
36,4795,PaidDuly,lessOne,Female,30,Good
27,3416,PaidDuly,lessFour,Male,27,Good
18,2462,PaidDuly,lessFour,Male,22,Bad
21,2288,Critical,lessOne,Female,23,Good
48,3566,CreditPaid,lessSeven,Male,30,Good
6,860,Critical,moreSeven,Female,39,Good
12,682,Critical,lessSeven,Female,51,Good
36,5371,Critical,lessFour,Male,28,Good
18,1582,Critical,moreSeven,Male,46,Good
6,1346,PaidDuly,moreSeven,Male,42,Good
10,1924,PaidDuly,lessFour,Male,38,Good
36,5848,PaidDuly,lessFour,Male,24,Good
24,7758,Critical,moreSeven,Female,29,Good
24,6967,PayDelay,lessSeven,Male,36,Good
12,1282,PaidDuly,lessFour,Female,20,Bad
9,1288,Critical,moreSeven,Male,48,Good
12,339,CreditPaid,moreSeven,Male,45,Good
24,3512,PaidDuly,lessSeven,Male,38,Good
6,1898,Critical,lessFour,Male,34,Good
24,2872,Critical,moreSeven,Male,36,Good
18,1055,Critical,lessOne,Female,30,Good
15,1262,PaidDuly,lessSeven,Male,36,Good
10,7308,PaidDuly,UnEmp,Male,70,Good
36,909,PaidDuly,moreSeven,Male,36,Good
6,2978,PaidDuly,lessFour,Male,32,Good
18,1131,PaidDuly,UnEmp,Female,33,Bad
11,1577,PaidDuly,lessOne,Female,20,Good
24,3972,PaidDuly,lessSeven,Female,25,Good
24,1935,Critical,moreSeven,Male,31,Bad
15,950,NoCredit,moreSeven,Male,33,Bad
12,763,PaidDuly,lessFour,Female,26,Good
24,2064,PayDelay,UnEmp,Female,34,Bad
8,1414,PaidDuly,lessFour,Male,33,Good
21,3414,PayDelay,lessOne,Male,26,Bad
30,7485,CreditPaid,UnEmp,Female,53,Bad
12,2577,PaidDuly,lessFour,Male,42,Good
6,338,Critical,moreSeven,Male,52,Good
12,1963,PaidDuly,lessSeven,Male,31,Good
21,571,Critical,moreSeven,Male,65,Good
36,9572,PayDelay,lessOne,Male,28,Bad
36,4455,PayDelay,lessFour,Male,30,Bad
21,1647,CreditPaid,lessFour,Male,40,Bad
24,3777,Critical,lessFour,Male,50,Good
18,884,Critical,moreSeven,Male,36,Bad
15,1360,Critical,lessFour,Male,31,Good
9,5129,CreditPaid,moreSeven,Female,74,Bad
16,1175,Critical,UnEmp,Male,68,Good
12,674,PaidDuly,lessSeven,Male,20,Bad
18,3244,NoCredit,lessFour,Female,33,Good
24,4591,PaidDuly,lessFour,Male,54,Bad
48,3844,NoCredit,lessSeven,Male,34,Bad
27,3915,PaidDuly,lessFour,Male,36,Bad
6,2108,PaidDuly,lessSeven,Male,29,Good
45,3031,PaidDuly,lessFour,Male,21,Bad
9,1501,Critical,moreSeven,Female,34,Bad
6,1382,Critical,lessFour,Female,28,Good
12,951,PaidDuly,lessOne,Female,27,Bad
24,2760,PaidDuly,moreSeven,Male,36,Good
18,4297,PayDelay,moreSeven,Male,40,Bad
9,936,Critical,moreSeven,Male,52,Good
12,1168,PaidDuly,lessFour,Male,27,Good
27,5117,PayDelay,lessSeven,Male,26,Good
12,902,PaidDuly,lessSeven,Male,21,Bad
12,1495,Critical,moreSeven,Male,38,Good
30,10623,Critical,moreSeven,Male,38,Good
12,1935,Critical,moreSeven,Male,43,Good
12,1424,Critical,lessSeven,Male,26,Good
24,6568,PaidDuly,lessFour,Male,21,Good
12,1413,PaidDuly,lessSeven,Male,55,Good
9,3074,Critical,lessFour,Male,33,Good
36,3835,PaidDuly,moreSeven,Female,45,Good
27,5293,NoCredit,UnEmp,Male,50,Bad
30,1908,PayDelay,moreSeven,Male,66,Bad
36,3342,Critical,moreSeven,Male,51,Good
6,932,Critical,lessSeven,Female,39,Good
18,3104,NoCredit,lessSeven,Male,31,Good
36,3913,PaidDuly,lessFour,Male,23,Good
24,3021,PaidDuly,lessFour,Male,24,Good
10,1364,PaidDuly,lessFour,Female,64,Good
12,625,PaidDuly,lessOne,Male,26,Good
12,1200,PaidDuly,lessFour,Female,23,Good
12,707,PaidDuly,lessFour,Male,30,Good
24,2978,PayDelay,lessFour,Male,32,Good
15,4657,PaidDuly,lessFour,Male,30,Good
36,2613,NoCredit,lessFour,Male,27,Good
48,10961,PaidDuly,lessSeven,Male,27,Bad
12,7865,PaidDuly,moreSeven,Male,53,Bad
9,1478,PaidDuly,lessSeven,Male,22,Bad
24,3149,PaidDuly,lessOne,Male,22,Good
